symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
SYSBUSD,0.00690000,3.795,0.19023465,0.18180000,0.18870000,1123.00000000,0.18780000,1930.00000000,0.18810000,1738.00000000,0.18180000,0.20780000,0.17450000,22105405.00000000,4205213.96440000,1662919797752,1663006197752,9638834,9660447,21614
XEMUSDT,0.00010000,0.215,0.04727368,0.04650000,0.04660000,5789.00000000,0.04650000,54562.00000000,0.04660000,65463.00000000,0.04650000,0.04850000,0.04590000,29621850.00000000,1400333.73060000,1662919792733,1663006192733,33364895,33371060,6166
HEGICETH,0.00000000,0.000,0.00000000,0.00001647,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
HEGICBUSD,0.00000000,0.000,0.00000000,0.02120000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
AAVEUPUSDT,0.00000000,0.000,0.00000000,0.60080000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
AAVEDOWNUSDT,0.00000000,0.000,0.00000000,0.00467300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
PROMBNB,0.00061000,2.619,0.02374535,0.02326000,0.02390000,2.82000000,0.02385000,7.02000000,0.02403000,28.32000000,0.02329000,0.02588000,0.02258000,50992.32000000,1210.83065490,1662919788246,1663006188246,2922531,2925541,3011
PROMBUSD,0.14000000,2.041,7.05833599,6.87000000,7.00000000,31.39000000,6.99000000,183.49000000,7.00000000,66.32000000,6.86000000,7.70000000,6.60000000,663045.36000000,4679996.92830000,1662919734444,1663006134444,15040700,15060017,19318
XRPBRL,-0.03300000,-1.791,1.81050878,1.84000000,1.81000000,456.00000000,1.80400000,1459.00000000,1.80700000,4668.00000000,1.84300000,1.86200000,1.70900000,265887.00000000,481390.74800000,1662919763904,1663006163904,2754632,2755233,602
XRPNGN,0.00000000,0.000,0.00000000,214.17000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
SKLBTC,-0.00000013,-5.579,0.00000228,0.00000234,0.00000220,39198.00000000,0.00000219,27489.00000000,0.00000220,8457.00000000,0.00000233,0.00000236,0.00000217,2745634.00000000,6.26141183,1662919763499,1663006163499,3915935,3917242,1308
SKLBUSD,-0.00142000,-2.812,0.05095759,0.05047000,0.04907000,1091.00000000,0.04890000,4086.00000000,0.04897000,4085.00000000,0.05049000,0.05328000,0.04795000,23469919.00000000,1195970.48480000,1662919797918,1663006197918,3839560,3845454,5895
SKLUSDT,-0.00157000,-3.109,0.05024877,0.05051000,0.04893000,600.00000000,0.04892000,2000.00000000,0.04894000,16215.00000000,0.05050000,0.05200000,0.04791000,109341833.00000000,5494292.41615000,1662919798080,1663006198080,29171015,29197300,26286
BCHEUR,-4.00000000,-3.040,129.31092682,131.80000000,127.60000000,5.05000000,126.90000000,43.03700000,127.10000000,1.57900000,131.60000000,131.70000000,124.90000000,1611.21900000,208348.22220000,1662919793159,1663006193159,1830144,1830914,771
YFIEUR,-365.00000000,-3.578,9931.55194909,10198.00000000,9837.00000000,0.01330000,9828.00000000,0.02007000,9857.00000000,0.02380000,10202.00000000,10291.00000000,9475.00000000,9.41672000,93522.64387000,1662919797339,1663006197339,1336307,1336676,370
ZILBIDR,-1.00,-0.180,558.70,556.00,556.00,38.00000000,554.00,8020.00000000,556.00,23300.00000000,557.00,570.00,546.00,1345402.00000000,751672617.00,1662919755935,1663006155935,1465347,1465787,441
SUSDBTC,0.00000000,0.000,0.00000000,0.00002065,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
SUSDETH,0.00000000,0.000,0.00000000,0.00052700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
SUSDUSDT,0.00000000,0.000,0.00000000,0.99600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
COVERETH,0.00000000,0.000,0.00000000,0.06373000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
COVERBUSD,0.00000000,0.000,0.00000000,193.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
GLMBTC,0.00000689,47.947,0.00001958,0.00001438,0.00002126,16.00000000,0.00002122,47.00000000,0.00002126,15.00000000,0.00001437,0.00002443,0.00001375,29363069.00000000,574.87626678,1662919794901,1663006194901,4594674,4700418,105745
GLMETH,0.00009880,56.328,0.00024664,0.00017510,0.00027420,76.00000000,0.00027470,180.00000000,0.00027520,182.00000000,0.00017540,0.00031270,0.00016870,8686679.00000000,2142.46621940,1662919794945,1663006194945,1077289,1095401,18113
GHSTETH,-0.00000100,-0.143,0.00070605,0.00070100,0.00070010,419.10000000,0.00070300,98.60000000,0.00070740,116.80000000,0.00070110,0.00071790,0.00069310,28211.70000000,19.91879915,1662919798058,1663006198058,1072729,1072987,259
GHSTBUSD,-0.02200000,-1.777,1.22350894,1.23700000,1.21600000,129.70000000,1.21600000,821.30000000,1.21900000,500.00000000,1.23800000,1.24200000,1.20700000,81557.30000000,99786.08550000,1662919767787,1663006167787,3782898,3783436,539
SUSHIUPUSDT,0.00000000,0.000,0.00000000,0.00471400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
SUSHIDOWNUSDT,0.00000000,0.000,0.00000000,37.37000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
XLMUPUSDT,0.00000000,0.000,0.00000000,0.02430000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
XLMDOWNUSDT,0.00000000,0.000,0.00000000,4.30400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
LINKBRL,-1.05000000,-2.567,41.09450403,40.84000000,39.85000000,30.00000000,39.67000000,322.30000000,39.76000000,25.79000000,40.90000000,42.83000000,39.22000000,12212.74000000,501876.49320000,1662919791511,1663006191511,1038970,1039490,521
LINKNGN,0.00000000,0.000,0.00000000,11772.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
